# plot_type: 'table'
# section_name: 'Components comparison'
# description: 'Comparison of identified components between click-point and commoned-line'
# pconfig:
#     namespace: 'Cust Data'
# headers:
#     col1:
#         title: 'click_metabolomics'
#         description: 'metabolomics identified with click-point'
#     col2:
#         title: 'batch_metabolomics'
#         description: 'metabolomics identified with commond-line and batchfile'
#     col3:
#         title: 'same'
#         description: 'comparison results'
components            col1            col1            col2
73            Hippuric_Acid            Hippuric_Acid            TRUE            
74            HOMOCYSTEINE            HOMOCYSTEINE            TRUE            
75            Hydroxyhippuric_acid            Hydroxyhippuric_acid            TRUE            
76            HYPOXANTHINE            HYPOXANTHINE            TRUE            
77            Isobutyrylcarnitine;Butyrylcarnitine            Isobutyrylcarnitine;Butyrylcarnitine            TRUE            
78            Isobutyrylcarnitine;Butyrylcarnitine            Isobutyrylcarnitine;Butyrylcarnitine            TRUE            
79            Isocytosine            Isocytosine            TRUE            
80            Isovalerylcarnitine            Isovalerylcarnitine            TRUE            
81            Isovalerylcarnitine            Isovalerylcarnitine            TRUE            
82            Isovalerylcarnitine;Valerylcarnitine            Isovalerylcarnitine;Valerylcarnitine            TRUE            
83            Kynurenic_Acid            Kynurenic_Acid            TRUE            
84            L-(+)-Lactic_Acid            L-(+)-Lactic_Acid            TRUE            
85            L-ARGININE            L-ARGININE            TRUE            
86            L-CARNITINE            L-CARNITINE            TRUE            
87            L-Cystine            L-Cystine            TRUE            
88            L-GLUTAMINE            L-GLUTAMINE            TRUE            
89            L-HISTIDINE            L-HISTIDINE            TRUE            
90            L-Isoleucine            L-Isoleucine            TRUE            
91            L-LEUCINE            L-LEUCINE            TRUE            
92            L-Leucine_13C6            L-Leucine_13C6            TRUE            
93            L-Leucine-D10            L-Leucine-D10            TRUE            
94            L-LYSINE            L-LYSINE            TRUE            
95            L-METHIONINE            L-METHIONINE            TRUE            
96            L-Phenylalanine_13C6            L-Phenylalanine_13C6            TRUE            
97            L-PROLINE            L-PROLINE            TRUE            
98            L-Tyrosine_13C6            L-Tyrosine_13C6            TRUE            
99            L-VALINE/5-AMINOPENTANOATE/L-NORVALINE            L-VALINE/5-AMINOPENTANOATE/L-NORVALINE            TRUE            
100            Lactose;Trehalose/Sucrose            Lactose;Trehalose/Sucrose            TRUE            
101            Lactose+K            Lactose+K            TRUE            
102            Leu_Pro            Leu_Pro            TRUE            
103            Leu_Pro            Leu_Pro            TRUE            
104            LL-2,6-DIAMINOHEPTANEDIOATE            LL-2,6-DIAMINOHEPTANEDIOATE            TRUE            
105            LysoPC_(16:0)            LysoPC_(16:0)            TRUE            
106            LysoPC_(16:0)            LysoPC_(16:0)            TRUE            
107            LysoPC_(18:2)            LysoPC_(18:2)            TRUE            
108            LysoPE_(18:0)            LysoPE_(18:0)            TRUE            
109            LysoPE_(18:1)            LysoPE_(18:1)            TRUE            
110            LysoPE_(18:1)            LysoPE_(18:1)            TRUE            
111            LysoPE_(20:4)            LysoPE_(20:4)            TRUE            
112            LysoPE_(22:6)            LysoPE_(22:6)            TRUE            
113            MALEIC_ACID            MALEIC_ACID            TRUE            
114            Mannitol/Sorbitol            Mannitol/Sorbitol            TRUE            
115            Methionine_Sulfoxide            Methionine_Sulfoxide            TRUE            
116            METHYL_BETA-D-GALACTOSIDE            METHYL_BETA-D-GALACTOSIDE            TRUE            
117            METHYL_INDOLE-3-ACETATE            METHYL_INDOLE-3-ACETATE            TRUE            
118            METHYL_JASMONATE            METHYL_JASMONATE            TRUE            
119            Monobutyl_phthalate;Diethyl_phthalate_(DEP)            Monobutyl_phthalate;Diethyl_phthalate_(DEP)            TRUE            
120            N-Acetyl-Arginine            N-Acetyl-Arginine            TRUE            
121            N-ACETYL-L-LEUCINE            N-ACETYL-L-LEUCINE            TRUE            
122            N-ACETYLNEURAMINATE            N-ACETYLNEURAMINATE            TRUE            
123            N-ACETYLPUTRESCINE            N-ACETYLPUTRESCINE            TRUE            
124            N-ALPHA-ACETYL-L-LYSINE            N-ALPHA-ACETYL-L-LYSINE            TRUE            
125            N-ALPHA-ACETYL-L-LYSINE            N-ALPHA-ACETYL-L-LYSINE            TRUE            
126            N-BOC-L-Aspartic_Acid            N-BOC-L-Aspartic_Acid            TRUE            
127            N-BOC-L-Aspartic_Acid            N-BOC-L-Aspartic_Acid            TRUE            
128            N-BOC-L-tert-Leucine            N-BOC-L-tert-Leucine            TRUE            
129            N-BOC-L-Tryptophan            N-BOC-L-Tryptophan            TRUE            
130            N-BOC-L-Tryptophan            N-BOC-L-Tryptophan            TRUE            
131            N-Butylbenzenesulfonamide            N-Butylbenzenesulfonamide            TRUE            
132            N-METHYL-D-ASPARTIC_ACID;O-ACETYL-L-SERINE;L-GLUTAMIC_ACID;O-Acetyl-L-Serine            N-METHYL-D-ASPARTIC_ACID;O-ACETYL-L-SERINE;L-GLUTAMIC_ACID;O-Acetyl-L-Serine            TRUE            
133            N(PAI)-METHYL-L-HISTIDINE            N(PAI)-METHYL-L-HISTIDINE            TRUE            
134            NICOTINAMIDE_MONONUCLEOTIDE            NICOTINAMIDE_MONONUCLEOTIDE            TRUE            
135            NICOTINATE;PICOLINIC_ACID            NICOTINATE;PICOLINIC_ACID            TRUE            
136            Octanoylcarnitine            Octanoylcarnitine            TRUE            
137            ORNITHINE            ORNITHINE            TRUE            
138            Orthophosphate            Orthophosphate            TRUE            
139            OxLysoPC_(18:4(OO))/OxLysoPC_(18:3(Ke,_OH))/OxoLysoPC_(16:1(OO))/OxPC_(18:2)            OxLysoPC_(18:4(OO))/OxLysoPC_(18:3(Ke,_OH))/OxoLysoPC_(16:1(OO))/OxPC_(18:2)            TRUE            
140            Pantothenic_Acid            Pantothenic_Acid            TRUE            
141            Phenylalanine            Phenylalanine            TRUE            
142            Phenylalanine-HCOOH            Phenylalanine-HCOOH            TRUE            
143            PHOSPHOCHOLINE            PHOSPHOCHOLINE            TRUE            
144            Phthalic_acid_mono-2-ethylhexyl_ester_(MEHP)            Phthalic_acid_mono-2-ethylhexyl_ester_(MEHP)            TRUE            
145            PIPECOLATE/L-PIPECOLIC_ACID            PIPECOLATE/L-PIPECOLIC_ACID            TRUE            
146            Proprionylcarnitine            Proprionylcarnitine            TRUE            
147            PUTRESCINE            PUTRESCINE            TRUE            
148            PYRIDINE-2,3-DICARBOXYLATE            PYRIDINE-2,3-DICARBOXYLATE            TRUE            
149            PYRIDOXAL            PYRIDOXAL            TRUE            
150            QUINATE            QUINATE            TRUE            
151            QUINATE            QUINATE            TRUE            
152            QUINATE            QUINATE            TRUE            
153            QUINATE            QUINATE            TRUE            
154            RIBOFLAVIN            RIBOFLAVIN            TRUE            
155            SN-GLYCEROL_3-PHOSPHATE            SN-GLYCEROL_3-PHOSPHATE            TRUE            
156            SPERMIDINE            SPERMIDINE            TRUE            
157            SPERMINE            SPERMINE            TRUE            
158            Stachydrine            Stachydrine            TRUE            
159            Sulcatol            Sulcatol            TRUE            
160            TAURINE            TAURINE            TRUE            
161            Texanol            Texanol            TRUE            
162            Theobromine            Theobromine            TRUE            
163            THREONINE/HOMOSERINE            THREONINE/HOMOSERINE            TRUE            
164            Triethanolamine            Triethanolamine            TRUE            
165            Triethyl_phosphate            Triethyl_phosphate            TRUE            
166            Trigonelline            Trigonelline            TRUE            
167            Tryptophan            Tryptophan            TRUE            
168            Tryptophan-2,3,3-D3            Tryptophan-2,3,3-D3            TRUE            
169            Tryptophan-2,3,3-D3-NH3            Tryptophan-2,3,3-D3-NH3            TRUE            
170            Tryptophan-NH3;Indoleacrylic_Acid            Tryptophan-NH3;Indoleacrylic_Acid            TRUE            
171            URATE            URATE            TRUE            
172            UROCANATE            UROCANATE            TRUE            
173            Xanthurenic_Acid            Xanthurenic_Acid            TRUE            
