ID,M/Z,Retention,Name,Formula,
138,166.0720033,2.617815152,"2,5-Furandicarboxylic acid",C6H4O5,
139,157.0129603,1.915564667,Orotic acid,C5H4N2O4,
140,305.148732,11.50802,"Uracil 5-carboxylate;
Uracil 5-carboxylic acid;
5-Carboxyuracil",C5H4N2O4,
141,173.0206574,0.706326282,(S)-Homostachydrine,C8H15NO2,
142,152.0564321,1.5108,Tranexamic Acid,C8H15NO2,
143,147.0659369,7.669430667,"N,N-diethyl-3-hydroxybut-2-enamide",C8H15NO2,
144,221.0236871,0.681141667,Lentiginosine,C8H15NO2,
145,275.2211097,13.485175,Homostachydrine,C8H15NO2,
146,167.0559847,6.116881481,3-Hydroxystachydrine,C7H13NO3,
147,133.0315881,1.407071429,"Calystegin A3;
Calystegine A3",C7H13NO3,
148,136.0755142,3.366640385,N-isovalerylglycine,C7H13NO3,
149,185.1281184,6.949797727,Methyl N-butyrylglycine,C7H13NO3,
150,113.0343649,2.863629487,Isobutyrylglycine methyl ester,C7H13NO3,
151,186.0757963,0.745564103,Methyl 5-(hydroxymethyl)pyrrolidine-3-carboxylate,C7H13NO3,
152,264.1183624,0.901493333,Calystegine A7,C7H13NO3,
153,282.1188669,3.632777333,Turicine,C7H13NO3,
154,232.1538233,7.369637179,Valerylglycine,C7H13NO3,
155,86.09641056,2.199192949,Betonicine,C7H13NO3,
156,350.2063835,11.51556,Medicanine,C7H13NO3,
157,446.1857061,0.796386667,3-Dehydrocarnitine,C7H13NO3,
158,148.0965411,1.193327564,N-Acetylvaline,C7H13NO3,
159,171.0744446,3.365698333,2-Methylbutyrylglycine,C7H13NO3,
160,168.0652583,1.886732051,5-Acetamidovalerate,C7H13NO3,
161,130.0649086,11.50637372,4-Hydroxystachydrine,C7H13NO3,
162,182.0669907,6.075394167,Calystegin A3,C7H13NO3,
163,166.052647,0.771430435,Isovalerylglycine,C7H13NO3,
164,190.0829948,7.6758725,Calystegine A6,C7H13NO3,
165,336.5855197,0.840734167,3-Hydroxystachydrine,C7H13NO3,
166,274.0912577,0.933623333,"Calystegin A3;
Calystegine A3",C7H13NO3,
167,403.1547854,0.735778333,N-isovalerylglycine,C7H13NO3,
168,288.119833,11.47655933,Methyl N-butyrylglycine,C7H13NO3,
169,335.0628889,1.092395833,Isobutyrylglycine methyl ester,C7H13NO3,
170,458.1856781,0.840996667,Methyl 5-(hydroxymethyl)pyrrolidine-3-carboxylate,C7H13NO3,
171,212.8513441,0.674593182,Calystegine A7,C7H13NO3,
172,176.0914436,10.94361933,Turicine,C7H13NO3,
173,90.05490083,0.887273077,Valerylglycine,C7H13NO3,
174,166.0720241,6.649100833,Betonicine,C7H13NO3,
175,294.1822012,7.817125,Medicanine,C7H13NO3,
176,231.0758915,11.50815417,3-Dehydrocarnitine,C7H13NO3,
177,196.8775089,0.654598333,N-Acetylvaline,C7H13NO3,
178,160.0446724,6.994308974,2-Methylbutyrylglycine,C7H13NO3,
179,198.1139472,13.47883819,5-Acetamidovalerate,C7H13NO3,
180,357.2123115,6.95467,4-Hydroxystachydrine,C7H13NO3,
181,145.5126103,1.93292197,Calystegin A3,C7H13NO3,
182,105.0483818,2.273103333,Isovalerylglycine,C7H13NO3,
183,304.1147629,10.06831,Calystegine A6,C7H13NO3,
184,119.0712843,7.675166667,2-Aminooctanoic acid,C8H17NO2,
185,115.0632687,0.911294167,Pregabalin,C8H17NO2,
186,183.0509865,5.607362121,3-Aminooctanoic acid,C8H17NO2,
187,147.0993431,7.675448333,DL-2-Aminooctanoic acid,C8H17NO2,
188,164.0703959,11.48086154,8-Aminooctanoic acid,C8H17NO2,
189,157.0120332,1.070522436,1-Methylguanine,C6H7N5O,
190,112.0504554,1.042267391,N2-Methylguanine,C6H7N5O,
191,174.9377178,0.648328333,3-Methylguanine,C6H7N5O,
192,134.0930447,7.674300833,7-Methylguanine,C6H7N5O,
193,139.0024719,2.47862,6-O-Methylguanine,C6H7N5O,
194,189.1229972,1.310584921,Uric acid,C5H4N4O3,
195,255.0969013,1.156924167,Phosphodimethylethanolamine,C4H12NO4P,
196,142.0954922,3.364349333,4-hydroperoxy 2-Nonenal,C9H16O3,
197,266.1632449,12.24836833,"5(6)-Pentyl-1,4-dioxan-2-one",C9H16O3,
198,153.0256683,10.06700238,9-oxo-nonanoic acid,C9H16O3,
199,197.128055,7.582639167,"5-Pentyl-1,4-dioxan-2-one",C9H16O3,
200,163.0943237,7.677815,3-Methylbutyl 3-oxobutanoate,C9H16O3,
201,173.9876901,1.932797727,Butyl levulinate,C9H16O3,
202,164.5336964,11.51093167,2-Methylpropyl 3-hydroxy-2-methylidenebutanoate,C9H16O3,
203,256.0785049,8.581964167,Butyl 3-hydroxy-2-methylidenebutanoate,C9H16O3,
204,384.1488543,0.8545675,"6-Pentyl-1,4-dioxan-2-one",C9H16O3,
205,111.0078035,1.917973718,4-hydroperoxynonenal ,C9H16O3,
206,157.0128583,2.476169565,Tetrahydrofurfuryl butyrate,C9H16O3,
207,223.0919844,0.754042361,cis-3-Hexenyl lactate,C9H16O3,
208,180.0653078,10.07093182,7-methyl-4-oxo-octanoic acid,C9H16O3,
209,134.0806008,0.891949359,7-methyl-6-oxo-octanoic acid,C9H16O3,
210,222.0967044,0.817075,3-oxo-nonanoic acid,C9H16O3,
211,154.5178532,1.930149167,8-oxo-nonanoic acid,C9H16O3,
212,135.5597034,10.94454,7-methyl-3-oxooctanoic acid,C9H16O3,
213,150.0545856,1.884660667,n-heptanoyl acetic acid,C9H16O3,
214,126.554481,10.94130079,3-caproyl propionic acid,C9H16O3,
215,326.8858251,0.651010833,4-n-valeryl butyric acid,C9H16O3,
216,104.0527243,1.408274167,n-butyrl n-valeric acid,C9H16O3,
217,240.1065788,3.093689167,6-propionyl n-caproic acid,C9H16O3,
218,384.1140252,7.099204167,9-hydroxy-5Z-nonenoic acid,C9H16O3,
219,209.0916546,6.373630833,"(3R,6S)-3-Hydroxy-1,7-dioxaspiro[5.5]undecane",C9H16O3,
220,151.0612232,6.68967,"(3S,6S)-3-Hydroxy-1,7-dioxaspiro[5.5]undecane",C9H16O3,
221,330.058859,6.077805,"(4R,6S)-4-Hydroxy-1,7-dioxaspiro[5.5]undecane",C9H16O3,
222,326.1450798,6.826899167,"(4S,6S)-4-Hydroxy-1,7-dioxaspiro[5.5]undecane",C9H16O3,
223,164.0563889,3.262692424,2-Oxoarginine,C6H11N3O3,
224,203.1498268,0.985435,2-Oxoarginine,C6H11N3O3,
225,259.1031917,3.158945833,"Dehydroascorbate;
Dehydroascorbic acid;
L-Dehydroascorbate;
L-Dehydroascorbic acid",C6H6O6,
226,93.05457972,0.788350641,Dehydroascorbic acid,C6H6O6,
227,164.1162243,0.931810833,cis-Aconitic acid,C6H6O6,
228,175.0708022,0.772757018,trans-Aconitic acid,C6H6O6,
229,245.0762337,1.486019167,"Dehydroascorbate;
Dehydroascorbic acid;
L-Dehydroascorbate;
L-Dehydroascorbic acid",C6H6O6,
230,308.0203187,1.91718,Dehydroascorbic acid,C6H6O6,
231,105.1039484,0.803625833,cis-Aconitic acid,C6H6O6,
232,162.0309283,10.07152727,trans-Aconitic acid,C6H6O6,
233,163.5852993,12.25274058,Hydroxymethyl indol-3-yl ketone,C10H9NO2,
234,132.0442313,7.514026667,Indoleacetic acid,C10H9NO2,
235,116.0341538,8.580572464,5-Hydroxyindoleacetaldehyde,C10H9NO2,
236,362.0957909,0.811511667,1-Methoxy-1H-indole-3-carboxaldehyde,C10H9NO2,
237,254.1605003,6.400795,Gentianine,C10H9NO2,
238,240.1014145,6.692605,"(Indol-3-yl)glycolaldehyde;
3-Indoleglycolaldehyde",C10H9NO2,
239,271.0918434,6.226060833,"NH2Mec;
7-Amino-4-methylcoumarin",C10H9NO2,
240,246.1694566,8.149695513,"N-Acetylindoxyl;
Acetylindoxyl",C10H9NO2,
241,173.53894,10.06962917,"3-Methyl-quinolin-2,8-diol",C10H9NO2,
242,146.0597507,11.50165347,"2-Methylquinoline-3,4-diol",C10H9NO2,
243,241.1540504,6.010975833,Argininic acid,C6H13N3O3,
244,153.0655134,5.350807143,Citrulline,C6H13N3O3,
245,262.1278586,5.990361538,"3-(Carboxycarbonylamino)-L-alanine;
N3-Oxalyl-L-2,3-diaminopropanoate;
L-alpha-Amino-beta-oxalylaminopropionic acid;
beta-ODAP",C5H8N2O5,
246,151.543995,11.51323413,N-Carbamoyl-DL-aspartic acid,C5H8N2O5,
247,154.0334458,11.48272372,Ureidosuccinic acid,C5H8N2O5,
248,86.09637653,10.94339872,L-3-Amino-2-(oxalylamino)propanoic acid,C5H8N2O5,
249,137.0456039,6.024972436,L-2-Amino-3-(oxalylamino)propanoic acid,C5H8N2O5,
250,177.6009606,13.485175,"1,2-Dehydrosalsolinol",C10H11NO2,
251,188.0702965,8.039705,5-Hydroxytryptophol,C10H11NO2,
252,175.1074206,0.973504348,"N,N-dimethylindoliumolate",C10H11NO2,
253,254.1355438,10.94474083,Plantagonine,C10H11NO2,
254,160.0965347,3.511219231,5-[2H-Pyrrol-4-(3H)-ylidenemethyl]-2-furanmethanol,C10H11NO2,
255,190.0495739,7.741444928,2-Propenyl 2-aminobenzoate,C10H11NO2,
256,191.038557,0.815441667,MDAI,C10H11NO2,
257,291.0104804,0.956463158,"1,2-Dehydrosalsolinol",C10H11NO2,
258,201.0156055,0.662121667,5-Hydroxytryptophol,C10H11NO2,
259,163.0521152,11.51016349,"N,N-dimethylindoliumolate",C10H11NO2,
260,138.0128403,8.582168333,Plantagonine,C10H11NO2,
261,168.561994,7.959443333,5-[2H-Pyrrol-4-(3H)-ylidenemethyl]-2-furanmethanol,C10H11NO2,
262,257.1125931,5.948053333,2-Propenyl 2-aminobenzoate,C10H11NO2,
263,413.1406738,7.606553333,MDAI,C10H11NO2,
264,327.116527,0.731550833,2-Aminobenzoylacetate,C9H9NO3,
265,137.5151403,1.177198551,"N-Acetylanthranilate;
2-(Acetylamino)-benzoic acid;
N-Acetylanthranilic acid",C9H9NO3,
266,284.0982434,6.133496667,"5,8-Dihydroxy-3,4-dihydrocarbostyril",C9H9NO3,
267,238.0915888,1.918104487,p-Acetaminobenzoic acid,C9H9NO3,
268,196.0391004,7.992215333,"2,5,6-Trihydroxy-5,6-dihydroquinoline",C9H9NO3,
269,246.1078357,2.401260526,Methyl n-formylanthranilate,C9H9NO3,
270,154.5180861,0.957689474,1-(4-Methoxyphenyl)-2-nitroethylene,C9H9NO3,
271,326.073934,1.30106,3-Succinoylpyridine,C9H9NO3,
272,195.076162,6.808255,Hippuric acid,C9H9NO3,
273,460.2016006,1.110820833,Adrenochrome,C9H9NO3,
274,265.1178099,8.015794167,5-Hydroxyisourate,C5H4N4O4,
275,345.126982,0.743921667,5-Hydroxyisourate,C5H4N4O4,
276,152.0563998,6.135311667,"Otonecine;
(1R,4beta,7abeta)-2,3,5,7a-Tetrahydro-1,7a-dihydroxy-7-(hydroxymethyl)-4-methyl-1H-pyrrolizin-4-ium",C9H15NO3,
277,175.0234295,2.480880667,PRIMA-1,C9H15NO3,
278,507.6438532,0.832534167,4-Hepteneoylglycine,C9H15NO3,
279,381.5900986,0.956536667,3-Hepteneoylglycine,C9H15NO3,
280,147.1126171,0.6150775,5-Hepteneoylglycine,C9H15NO3,
281,226.0704353,10.06850333,2-Hepteneoylglycine,C9H15NO3,
282,132.0290321,8.582166667,Pseudoecgonine,C9H15NO3,
283,132.0805378,11.50871083,Ecgonine,C9H15NO3,
284,155.012484,7.9931425,N-Isovaleryl-L-homoserine lactone,C9H15NO3,
285,166.0529911,1.400782576,"Otonecine;
(1R,4beta,7abeta)-2,3,5,7a-Tetrahydro-1,7a-dihydroxy-7-(hydroxymethyl)-4-methyl-1H-pyrrolizin-4-ium",C9H15NO3,
286,348.0694505,1.657373333,PRIMA-1,C9H15NO3,
287,533.1541885,0.803140833,4-Hepteneoylglycine,C9H15NO3,
288,144.1017012,6.371128846,3-Hepteneoylglycine,C9H15NO3,
289,727.2276426,0.94641,5-Hepteneoylglycine,C9H15NO3,
290,187.0863636,11.50764417,2-Hepteneoylglycine,C9H15NO3,
291,120.0442736,6.809418254,Pseudoecgonine,C9H15NO3,
292,162.0546713,7.993531667,Ecgonine,C9H15NO3,
293,129.0654288,3.034476282,N-Isovaleryl-L-homoserine lactone,C9H15NO3,
294,152.0538537,1.406538333,"Otonecine;
(1R,4beta,7abeta)-2,3,5,7a-Tetrahydro-1,7a-dihydroxy-7-(hydroxymethyl)-4-methyl-1H-pyrrolizin-4-ium",C9H15NO3,
295,199.1072953,6.094820833,PRIMA-1,C9H15NO3,
296,165.9902691,1.175122619,4-Hepteneoylglycine,C9H15NO3,
297,210.0603906,1.165980833,3-Hepteneoylglycine,C9H15NO3,
298,185.0302116,1.862960833,5-Hepteneoylglycine,C9H15NO3,
299,122.5099682,1.9297875,2-Hepteneoylglycine,C9H15NO3,
300,241.1022832,0.755699206,Pseudoecgonine,C9H15NO3,
301,197.0052685,2.475495,Ecgonine,C9H15NO3,
302,227.1020325,6.685189167,N-Isovaleryl-L-homoserine lactone,C9H15NO3,
303,145.0856504,7.467829487,6-Acetamido-3-aminohexanoate,C8H16N2O3,
304,181.059104,6.07625873,Gly Leu,C8H16N2O3,
305,224.1105066,2.273553175,Val Ala,C8H16N2O3,
306,185.04697,11.50999833,Ile Gly,C8H16N2O3,
307,328.9570602,1.914905833,Gly Ile,C8H16N2O3,
308,269.11252,5.976575926,Ala Val,C8H16N2O3,
309,106.1105284,0.8034775,Leu Gly,C8H16N2O3,
310,245.0762457,2.86054,D-Alanyl-D-Valine,C8H16N2O3,
311,154.0047148,0.584088333,Isoleucyl-Glycine,C8H16N2O3,
312,118.0650154,11.50769,N-Alpha-acetyllysine,C8H16N2O3,
313,155.0796175,6.137253968,Glycyl-Isoleucine,C8H16N2O3,
314,149.5207691,8.583365833,Glycyl-L-leucine,C8H16N2O3,
315,270.951758,1.065644167,Valyl-Alanine,C8H16N2O3,
316,283.1030153,6.6898775,Leucyl-Glycine,C8H16N2O3,
317,95.15290928,2.45709,N2-Acetyl-L-Lysine,C8H16N2O3,
318,142.5387787,11.5094,"N2-Acetyl-L-lysine;
N(alpha)-Acetyllysine",C8H16N2O3,
319,221.0917279,3.78737619,(3S)-6-Acetamido-3-aminohexanoate,C8H16N2O3,
320,118.0650288,7.995010833,N-lactoyl-Valine,C8H15NO4,
321,146.090976,7.675835833,3-hydroxyhexanoylglycine,C8H15NO4,
322,182.0669871,3.193194167,1-hydroxyhexanoylglycine,C8H15NO4,
323,175.0234212,1.10982,2-hydroxyhexanoylglycine,C8H15NO4,
324,182.1020126,0.8661725,4-hydroxyhexanoylglycine,C8H15NO4,
325,267.0580908,2.8620125,5-hydroxyhexanoylglycine,C8H15NO4,
326,380.0941666,0.674430833,N-Methylcalystegine B2,C8H15NO4,
327,173.0231208,7.994194167,L-Allysine Ethylene Acetal,C8H15NO4,
328,159.0544254,6.562961667,Alexine,C8H15NO4,
329,130.0861652,0.919233974,Australine,C8H15NO4,
330,191.102316,0.83542619,2 -(Butylamido)-4-hydroxybutanoic acid,C8H15NO4,
331,197.0990713,7.957256667,Castanospermine,C8H15NO4,
332,214.8492364,0.670455833,(2S)-2-{[1-(R)-Carboxyethyl]amino}pentanoate,C8H15NO4,
333,189.0047303,1.921487681,Isosorbide Mononitrate,C6H9NO6,
334,116.5099606,1.063830833,gamma-Carboxyglutamic acid,C6H9NO6,
335,129.1019696,1.161476667,Isosorbide 2-mononitrate,C6H9NO6,
336,125.5152936,1.061954167,"O-Oxalylhomoserine;
O-Oxalyl-L-homoserine",C6H9NO6,
337,520.9843009,1.908918333,"Nitrilotriacetic acid;
Triglycollamic acid;
Nitrilotriacetate",C6H9NO6,
338,330.1386234,0.870238333,Oxoamide,C10H12N2O2,
339,144.1017218,1.307301282,Hydroxycotinine,C10H12N2O2,
340,209.0552673,1.486015833,N'-Hydroxymethylnorcotinine,C10H12N2O2,
341,86.09606354,0.751791667,5'-Hydroxycotinine,C10H12N2O2,
342,166.0720473,3.50285,Cotinine N-oxide,C10H12N2O2,
343,169.0968309,6.267787302,N-Hydroxymethylnorcotinine,C10H12N2O2,
344,176.1278324,1.458746032,N'-Hydroxymethylnorcotinine,C10H12N2O2,
345,198.0618141,6.079005833,Acanthicifoline,C10H12N2O2,
346,195.1125187,6.997233333,"2,6-Dihydroxy-N-methylmyosmine",C10H12N2O2,
347,217.0202019,1.9174025,Gentioflavine,C10H11NO3,
348,128.0816139,1.155787879,3-Methylhippuric acid,C10H11NO3,
349,147.5464108,6.562465833,Cichorine,C10H11NO3,
350,437.9717084,1.919859167,"5,6-Dihydroxy-3-methyl-2-oxo-1,2,5,6-tetrahydroquinoline",C10H11NO3,
351,154.0608999,6.788660317,(3-Arylcarbonyl)-alanine,C10H11NO3,
352,255.0969246,5.947858333,3-Carbamoyl-2-phenylpropionaldehyde,C10H11NO3,
353,157.0242565,1.186846667,N-Phenylacetylglycine,C10H11NO3,
354,150.5361798,7.992928333,Methyl hippurate,C10H11NO3,
